Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_10 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest
Terminate Guest ::node1 :: VM_Task_11 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_1 :: Successfully migrated the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest


Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
2014-12-01 04:13:57.127075::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:14:09.325815::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:14:54.970215::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:15:07.221176::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:15:30.954144::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:19:17.148640::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:20:44.082222::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:20:44.475396::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:20:56.475410::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:21:08.627686::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:21:18.095734::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:21:20.928958::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:21:29.649477::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:21:45.582861::Migrate Guest ::node1 :: VM_Task_11 :: Successfully migrated the guest
2014-12-01 04:22:05.303940::Migrate Guest ::node3 :: VM_Task_11 :: Successfully migrated the guest
2014-12-01 04:22:08.930150::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:22:41.146443::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:22:43.045809::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:22:52.904606::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:22:54.592201::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:23:04.477443::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:23:08.444722::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:23:22.030349::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:23:32.757336::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:23:55.453356::Migrate Guest ::node1 :: VM_Task_100 :: Successfully migrated the guest
2014-12-01 04:23:55.572643::Migrate Guest ::node1 :: VM_Task_11 :: Successfully migrated the guest
2014-12-01 04:24:05.058773::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:24:06.882693::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:24:13.236727::Migrate Guest ::node3 :: VM_Task_11 :: Successfully migrated the guest
2014-12-01 04:24:14.424975::Migrate Guest ::node3 :: VM_Task_100 :: Successfully migrated the guest
